date,gid,bout,fighter,key,salary,sched,source,p_win,p_finish,p_r1,proj,sd,floor,median,ceil,own,own_cash,dk_fppf,off,def_opp
2026-09-26,153825,Demopoulos vs Jauregui,Yazmin Jauregui,yazminjauregui,9800,3,moneyline+method,0.8995,0.3305,0.1567,92.3,34.09,70.4,95.1,132.0,15.9,11.2,55.3,0.981,1.208
2026-09-26,153825,Demopoulos vs Jauregui,Vanessa Demopoulos,vanessademopoulos,6400,3,moneyline+method,0.1005,0.0462,0.0209,25.4,24.59,10.0,18.8,54.3,18.1,18.2,49.1,0.834,1.044
2026-09-26,153825,Castaneda vs Alatengheili,John Castaneda,johncastaneda,9200,3,moneyline+method,0.7687,0.2058,0.0918,75.56,35.69,52.6,77.8,118.8,15.2,10.0,65.7,1.131,0.914
2026-09-26,153825,Castaneda vs Alatengheili,Heili Alatengheili,alatengheili,7000,3,moneyline+method,0.2313,0.0986,0.0448,35.28,31.08,13.8,24.0,89.4,21.8,20.6,57.0,0.814,0.979
2026-09-26,153825,Jackson vs Simon,Montel Jackson,monteljackson,8800,3,moneyline+method,0.6892,0.3038,0.144,74.2,37.99,43.5,77.4,120.8,36.1,41.2,84.9,1.217,0.843
2026-09-26,153825,Jackson vs Simon,Ricky Simon,rickysimon,7400,3,moneyline+method,0.3108,0.087,0.0405,41.47,34.69,14.2,29.4,97.5,19.4,17.5,75.9,1.108,0.864
2026-09-26,153825,Brener vs Harrell,Josiah Harrell,josiahharrell,8200,3,moneyline+method,0.5295,0.2427,0.1182,61.14,41.18,22.4,59.7,114.6,9.9,5.1,2.8,0.961,1.087
2026-09-26,153825,Brener vs Harrell,Elves Brener,elvesbrener,8000,3,moneyline+method,0.4705,0.2498,0.1203,56.67,40.67,19.8,49.4,112.2,30.4,30.6,65.1,1.001,1.02
2026-09-26,153825,Bellato vs Edwards,Rodolfo Bellato,rodolfobellato,8600,3,moneyline+method,0.6308,0.3826,0.1949,66.61,40.01,27.3,72.8,114.5,23.0,19.3,63.7,1.031,0.859
2026-09-26,153825,Bellato vs Edwards,Christian Edwards,christianedwards,7600,3,moneyline+method,0.3692,0.1859,0.0965,49.21,41.74,13.3,34.1,112.1,15.3,11.1,25.3,0.943,1.159
2026-09-26,153825,Vieira vs Bryczek,Rodolfo Vieira,rodolfovieira,8400,3,moneyline+method,0.6166,0.3733,0.1854,69.03,42.24,27.3,78.0,118.2,44.5,53.7,68.7,1.054,1.048
2026-09-26,153825,Vieira vs Bryczek,Robert Bryczek,robertbryczek,7800,3,moneyline+method,0.3834,0.2433,0.131,43.28,39.74,9.6,24.8,104.8,5.9,2.1,39.4,0.806,0.885
2026-09-26,153825,Hiestand vs Nakamura,Rinya Nakamura,rinyanakamura,9300,3,moneyline+method,0.7864,0.428,0.2169,84.65,38.44,60.2,93.2,127.4,37.1,43.1,87.5,0.991,1.127
2026-09-26,153825,Hiestand vs Nakamura,Brady Hiestand,bradyhiestand,6900,3,moneyline+method,0.2136,0.1079,0.0525,30.77,32.08,8.1,18.3,89.6,19.4,17.6,87.1,0.982,0.804
2026-09-26,153825,Amaya vs Black,Tina Black,,8900,3,salary,0.7154,0.2444,0.1083,72.75,35.99,46.4,75.6,116.4,24.9,22.8,,1.0,1.0
2026-09-26,153825,Amaya vs Black,Melissa Amaya,,7300,3,salary,0.2846,0.0972,0.0431,42.29,34.46,16.4,30.5,98.2,17.2,14.1,,1.0,1.0
2026-09-26,153825,Osmanli vs Akylbek,Mahammadali Osmanli,,9100,3,moneyline+method,0.7481,0.4098,0.2036,77.02,37.8,50.6,85.0,119.7,26.5,24.8,,1.0,1.0
2026-09-26,153825,Osmanli vs Akylbek,Ilimbek Akylbek,,7100,3,moneyline+method,0.2519,0.1376,0.0657,38.05,35.7,10.7,24.3,98.9,15.4,12.2,,1.0,1.0
2026-09-26,153825,Hernandez vs Dumas,Luis Hernandez,,9000,3,moneyline+method,0.6892,0.5776,0.3374,78.21,43.37,35.5,95.8,123.4,40.3,44.4,,1.0,1.117
2026-09-26,153825,Hernandez vs Dumas,Sedriques Dumas,sedriquesdumas,7700,3,moneyline+method,0.3108,0.2201,0.1333,38.25,41.83,5.7,16.1,106.6,3.8,1.2,28.7,0.871,1.0
2026-09-26,153825,Dumont vs Perez,Ailin Perez,ailinperez,8300,3,moneyline+method,0.6049,0.1141,0.0494,70.51,39.41,38.2,70.3,121.2,60.9,78.5,90.5,1.246,0.973
2026-09-26,153825,Dumont vs Perez,Norma Dumont,normadumont,7900,3,moneyline+method,0.3951,0.1228,0.0526,48.88,34.07,21.0,38.4,100.3,9.3,3.9,66.9,0.947,0.963
2026-09-26,153825,Rosas Jr. vs Barcelos,Raul Rosas Jr.,raulrosas,8700,5,moneyline+method,0.5713,0.262,0.0898,85.08,50.55,44.4,87.7,147.8,47.4,50.3,97.4,1.215,0.948
2026-09-26,153825,Rosas Jr. vs Barcelos,Raoni Barcelos,raonibarcelos,7500,5,moneyline+method,0.4287,0.1916,0.0679,63.07,44.6,25.1,55.6,121.6,42.5,46.4,76.8,1.095,0.822
